Group;Muscle;n_features;r2;intercept;ACTIVATION;LRELATIVE;F_V;ForceRelative;Equation
DL;BF;3;0.21;57.747855232976555;-36.434307088877134;-41.655709861886294;;25.444837785707726;57.75 + ACTIVATION*-36.43 + LRELATIVE*-41.66 + ForceRelative*25.44
DL;SM;3;0.19;312.04192144937014;-35.92743141401743;;-276.4231101394754;8.450483346534956;312.04 + ACTIVATION*-35.93 + F_V*-276.42 + ForceRelative*8.45
DL;ST;3;0.28;-17.33490626170411;-22.482042924820405;17.557921129431023;;-7.748329632677277;-17.33 + ACTIVATION*-22.48 + LRELATIVE*17.56 + ForceRelative*-7.75
DL;;3;0.18;253.43349057618178;-14.522589140117503;;-233.67848482949196;21.453616743155123;253.43 + ACTIVATION*-14.52 + F_V*-233.68 + ForceRelative*21.45
NHE;BF;3;0.91;-565.4433057295237;-154.032095052925;;535.537602818671;162.78276844966206;-565.44 + ACTIVATION*-154.03 + F_V*535.54 + ForceRelative*162.78
NHE;SM;3;0.16;-219.64537857102627;-16.504925738774354;;186.10542661917341;72.7671717776218;-219.65 + ACTIVATION*-16.5 + F_V*186.11 + ForceRelative*72.77
NHE;ST;3;0.13;505.22276897825446;;-26.675057206514214;-432.542832616295;4.706382002111122;505.22 + LRELATIVE*-26.68 + F_V*-432.54 + ForceRelative*4.71
NHE;;3;0.32;-231.05001946570434;2.8704782096671897;36.50104854127615;191.569492725693;;-231.05 + ACTIVATION*2.87 + LRELATIVE*36.5 + F_V*191.57
;BF;3;0.39;-118.54677901695098;-12.760410020513271;-0.6532894055189381;119.5636410846711;;-118.55 + ACTIVATION*-12.76 + LRELATIVE*-0.65 + F_V*119.56
;SM;3;0.15;107.63303414887282;6.777106548500572;13.853069259813227;-110.09932179853897;;107.63 + ACTIVATION*6.78 + LRELATIVE*13.85 + F_V*-110.1
;ST;3;0.51;227.50652298140764;;-27.137866724444198;-181.39679391421004;15.305686438597116;227.51 + LRELATIVE*-27.14 + F_V*-181.4 + ForceRelative*15.31
